target_record_id	rrna_class	query_accession	subject_accession	start	end	strand
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_020312380.1	6	127	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_020312430.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_020312720.1	21	142	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_019209216.1	779	900	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_019209405.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_019209669.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_019210371.1	74	195	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_019210680.1	694	815	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_019211138.1	27	148	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_020312267.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_020312380.1	6	127	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_020312430.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297364.1	NW_020312720.1	21	142	-
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297348.1	NW_019210658.1	27886	28007	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297348.1	NW_020312314.1	40426	40547	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297351.1	NW_019210658.1	27886	28007	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297351.1	NW_020312314.1	40426	40547	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297352.1	NW_019210658.1	27886	28007	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297352.1	NW_020312314.1	40426	40547	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297353.1	NW_019210658.1	27886	28007	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297353.1	NW_020312314.1	40426	40547	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297354.1	NW_019210658.1	27886	28007	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297354.1	NW_020312314.1	40426	40547	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297364.1	NW_019210658.1	27886	28007	+
5S|XR_003297348.1|NW_019210658.1|27886-28007|+	5S	XR_003297364.1	NW_020312314.1	40426	40547	+
