sample	read_id	representative_id	deacon_hits	read_length
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.454039382/2	CA_Ontario_20250827__SRR36790970|SRR36790970.454039382/2	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.673893168/1	CA_Ontario_20250827__SRR36790970|SRR36790970.673893168/1	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.903215979/1	CA_Ontario_20250827__SRR36790970|SRR36790970.903215979/1	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.903215979/2	CA_Ontario_20250827__SRR36790970|SRR36790970.903215979/2	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.915509112/2	CA_Ontario_20250827__SRR36790970|SRR36790970.915509112/2	2	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.1152579006/1	CA_Riverside_20250602__SRR35931371|SRR35931371.1152579006/1	15	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.1152579006/2	CA_Riverside_20250602__SRR35931371|SRR35931371.1152579006/2	15	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/1	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/1	2	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/2	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/2	2	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.274352330/1	CA_Riverside_20250602__SRR35931371|SRR35931371.274352330/1	15	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.274352330/2	CA_Riverside_20250602__SRR35931371|SRR35931371.1152579006/2	15	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.465361733/1	CA_Riverside_20250602__SRR35931371|SRR35931371.465361733/1	2	151
CA_Riverside_20250602__SRR35931371	CA_Riverside_20250602__SRR35931371|SRR35931371.465361733/2	CA_Riverside_20250602__SRR35931371|SRR35931371.465361733/2	2	151
CA_Riverside_20250612__SRR35931374	CA_Riverside_20250612__SRR35931374|SRR35931374.1184840979/2	CA_Riverside_20250612__SRR35931374|SRR35931374.1184840979/2	2	151
CA_Riverside_20250612__SRR35931374	CA_Riverside_20250612__SRR35931374|SRR35931374.621658776/2	CA_Riverside_20250612__SRR35931374|SRR35931374.621658776/2	3	151
CA_Riverside_20250612__SRR35931374	CA_Riverside_20250612__SRR35931374|SRR35931374.665496335/2	CA_Riverside_20250612__SRR35931374|SRR35931374.1184840979/2	2	151
CA_Riverside_20250612__SRR35931374	CA_Riverside_20250612__SRR35931374|SRR35931374.910429780/2	CA_Riverside_20250612__SRR35931374|SRR35931374.910429780/2	2	151
CA_Riverside_20250616__SRR35931375	CA_Riverside_20250616__SRR35931375|SRR35931375.1031269038/1	CA_Riverside_20250616__SRR35931375|SRR35931375.1031269038/1	20	151
CA_Riverside_20250616__SRR35931375	CA_Riverside_20250616__SRR35931375|SRR35931375.1031269038/2	CA_Riverside_20250616__SRR35931375|SRR35931375.1031269038/2	20	151
CA_Riverside_20250616__SRR35931375	CA_Riverside_20250616__SRR35931375|SRR35931375.1233735849/1	CA_Riverside_20250616__SRR35931375|SRR35931375.1233735849/1	75	151
CA_Riverside_20250616__SRR35931375	CA_Riverside_20250616__SRR35931375|SRR35931375.1233735849/2	CA_Riverside_20250616__SRR35931375|SRR35931375.1233735849/2	65	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.1017987082/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1017987082/1	12	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.1017987082/2	CA_Riverside_20250619__SRR35931376|SRR35931376.1017987082/2	70	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.1032386947/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1032386947/1	71	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.1032386947/2	CA_Riverside_20250619__SRR35931376|SRR35931376.1032386947/2	71	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.1120071561/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1120071561/1	2	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.1214412848/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1214412848/1	2	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.222946384/1	CA_Riverside_20250619__SRR35931376|SRR35931376.222946384/1	57	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.222946384/2	CA_Riverside_20250619__SRR35931376|SRR35931376.222946384/2	71	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.330513428/1	CA_Riverside_20250619__SRR35931376|SRR35931376.330513428/1	36	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.330513428/2	CA_Riverside_20250619__SRR35931376|SRR35931376.330513428/2	68	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.346838543/1	CA_Riverside_20250619__SRR35931376|SRR35931376.346838543/1	23	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.346838543/2	CA_Riverside_20250619__SRR35931376|SRR35931376.330513428/2	68	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.420136987/1	CA_Riverside_20250619__SRR35931376|SRR35931376.420136987/1	105	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.420136987/2	CA_Riverside_20250619__SRR35931376|SRR35931376.420136987/2	105	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.488128359/1	CA_Riverside_20250619__SRR35931376|SRR35931376.488128359/1	100	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.488128359/2	CA_Riverside_20250619__SRR35931376|SRR35931376.488128359/2	18	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.50911702/1	CA_Riverside_20250619__SRR35931376|SRR35931376.50911702/1	51	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.50911702/2	CA_Riverside_20250619__SRR35931376|SRR35931376.50911702/2	26	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.611539999/1	CA_Riverside_20250619__SRR35931376|SRR35931376.611539999/1	7	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.611539999/2	CA_Riverside_20250619__SRR35931376|SRR35931376.611539999/2	14	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.653096384/1	CA_Riverside_20250619__SRR35931376|SRR35931376.653096384/1	2	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.789396/1	CA_Riverside_20250619__SRR35931376|SRR35931376.789396/1	28	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.789396/2	CA_Riverside_20250619__SRR35931376|SRR35931376.789396/2	28	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.980218905/1	CA_Riverside_20250619__SRR35931376|SRR35931376.980218905/1	1	151
CA_Riverside_20250619__SRR35931376	CA_Riverside_20250619__SRR35931376|SRR35931376.980218905/2	CA_Riverside_20250619__SRR35931376|SRR35931376.980218905/2	1	151
CA_Riverside_20250626__SRR35931355	CA_Riverside_20250626__SRR35931355|SRR35931355.1010016448/2	CA_Riverside_20250626__SRR35931355|SRR35931355.1010016448/2	2	151
CA_Riverside_20250630__SRR35931356	CA_Riverside_20250630__SRR35931356|SRR35931356.1055653579/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1120071561/1	2	151
CA_Riverside_20250630__SRR35931356	CA_Riverside_20250630__SRR35931356|SRR35931356.1117592266/1	CA_Riverside_20250630__SRR35931356|SRR35931356.1117592266/1	2	151
CA_Riverside_20250630__SRR35931356	CA_Riverside_20250630__SRR35931356|SRR35931356.1117592266/2	CA_Riverside_20250630__SRR35931356|SRR35931356.1117592266/2	2	151
CA_Riverside_20250707__SRR35931350	CA_Riverside_20250707__SRR35931350|SRR35931350.116734678/1	CA_Riverside_20250707__SRR35931350|SRR35931350.116734678/1	2	151
CA_Riverside_20250707__SRR35931350	CA_Riverside_20250707__SRR35931350|SRR35931350.116734678/2	CA_Riverside_20250707__SRR35931350|SRR35931350.116734678/2	2	151
CA_Riverside_20250710__SRR35931349	CA_Riverside_20250710__SRR35931349|SRR35931349.214217014/2	CA_Riverside_20250710__SRR35931349|SRR35931349.214217014/2	1	151
CA_Riverside_20250717__SRR35931347	CA_Riverside_20250717__SRR35931347|SRR35931347.757268841/1	CA_Riverside_20250717__SRR35931347|SRR35931347.757268841/1	3	151
CA_Riverside_20250721__SRR35931346	CA_Riverside_20250721__SRR35931346|SRR35931346.113359838/2	CA_Riverside_20250721__SRR35931346|SRR35931346.113359838/2	101	151
CA_Riverside_20250721__SRR35931346	CA_Riverside_20250721__SRR35931346|SRR35931346.267454997/2	CA_Riverside_20250721__SRR35931346|SRR35931346.267454997/2	1	151
CA_Riverside_20250721__SRR35931346	CA_Riverside_20250721__SRR35931346|SRR35931346.331162089/1	CA_Riverside_20250721__SRR35931346|SRR35931346.331162089/1	3	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.123339798/2	CA_Riverside_20250731__SRR35931345|SRR35931345.123339798/2	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.295086958/2	CA_Riverside_20250731__SRR35931345|SRR35931345.295086958/2	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.314389313/2	CA_Riverside_20250731__SRR35931345|SRR35931345.314389313/2	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.432087219/1	CA_Riverside_20250731__SRR35931345|SRR35931345.432087219/1	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.432087219/2	CA_Riverside_20250731__SRR35931345|SRR35931345.432087219/2	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.824570856/1	CA_Riverside_20250731__SRR35931345|SRR35931345.824570856/1	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.824570856/2	CA_Riverside_20250731__SRR35931345|SRR35931345.824570856/2	2	151
CA_Riverside_20250731__SRR35931345	CA_Riverside_20250731__SRR35931345|SRR35931345.875793921/2	CA_Riverside_20250731__SRR35931345|SRR35931345.875793921/2	2	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.525847739/1	CA_Riverside_20250804__SRR35931343|SRR35931343.525847739/1	58	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.525847739/2	CA_Riverside_20250804__SRR35931343|SRR35931343.525847739/2	84	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.799629697/1	CA_Riverside_20250804__SRR35931343|SRR35931343.799629697/1	25	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.799629697/2	CA_Riverside_20250804__SRR35931343|SRR35931343.799629697/2	25	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.865003799/1	CA_Riverside_20250804__SRR35931343|SRR35931343.865003799/1	47	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.865003799/2	CA_Riverside_20250804__SRR35931343|SRR35931343.525847739/2	84	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.876995961/1	CA_Riverside_20250804__SRR35931343|SRR35931343.876995961/1	44	151
CA_Riverside_20250804__SRR35931343	CA_Riverside_20250804__SRR35931343|SRR35931343.876995961/2	CA_Riverside_20250804__SRR35931343|SRR35931343.525847739/2	84	151
CA_Riverside_20250807__SRR35931364	CA_Riverside_20250807__SRR35931364|SRR35931364.261230266/1	CA_Riverside_20250807__SRR35931364|SRR35931364.261230266/1	2	151
CA_Riverside_20250807__SRR35931364	CA_Riverside_20250807__SRR35931364|SRR35931364.261230266/2	CA_Riverside_20250807__SRR35931364|SRR35931364.261230266/2	2	151
CA_Riverside_20250807__SRR35931364	CA_Riverside_20250807__SRR35931364|SRR35931364.562525345/1	CA_Riverside_20250807__SRR35931364|SRR35931364.562525345/1	2	151
CA_Riverside_20250807__SRR35931364	CA_Riverside_20250807__SRR35931364|SRR35931364.914956246/2	CA_Riverside_20250721__SRR35931346|SRR35931346.113359838/2	101	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.11210908/1	CHI-A_20250727__SRR35987587|SRR35987587.11210908/1	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.11210908/2	CHI-A_20250727__SRR35987587|SRR35987587.11210908/2	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.175060149/1	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/1	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.195150492/1	CHI-A_20250727__SRR35987587|SRR35987587.195150492/1	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.195150492/2	CHI-A_20250727__SRR35987587|SRR35987587.11210908/2	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.210775583/2	CHI-A_20250727__SRR35987587|SRR35987587.210775583/2	1	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.238738050/1	CHI-A_20250727__SRR35987587|SRR35987587.238738050/1	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.238738050/2	CHI-A_20250727__SRR35987587|SRR35987587.238738050/2	2	151
CHI-A_20250727__SRR35987587	CHI-A_20250727__SRR35987587|SRR35987587.398485511/1	CHI-A_20250727__SRR35987587|SRR35987587.398485511/1	2	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.161676434/1	CHI-A_20250803__SRR35987670|SRR35987670.161676434/1	3	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.161676434/2	CHI-A_20250803__SRR35987670|SRR35987670.161676434/2	3	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.174977225/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1120071561/1	2	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.319955818/1	CHI-A_20250803__SRR35987670|SRR35987670.319955818/1	3	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.319955818/2	CHI-A_20250803__SRR35987670|SRR35987670.319955818/2	3	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.320573331/2	CHI-A_20250803__SRR35987670|SRR35987670.320573331/2	2	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.387124866/1	CHI-A_20250803__SRR35987670|SRR35987670.387124866/1	2	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.387124866/2	CHI-A_20250803__SRR35987670|SRR35987670.387124866/2	2	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.536575327/2	CHI-A_20250803__SRR35987670|SRR35987670.536575327/2	2	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.621266939/1	CHI-A_20250803__SRR35987670|SRR35987670.621266939/1	1	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.621266939/2	CHI-A_20250803__SRR35987670|SRR35987670.621266939/2	1	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.725980371/2	CHI-A_20250803__SRR35987670|SRR35987670.725980371/2	1	151
CHI-A_20250803__SRR35987670	CHI-A_20250803__SRR35987670|SRR35987670.725980458/2	CHI-A_20250803__SRR35987670|SRR35987670.725980458/2	1	151
CHI-A_20250810__SRR35987646	CHI-A_20250810__SRR35987646|SRR35987646.126383725/2	CHI-A_20250810__SRR35987646|SRR35987646.126383725/2	15	151
CHI-A_20250810__SRR35987646	CHI-A_20250810__SRR35987646|SRR35987646.160722379/1	CHI-A_20250810__SRR35987646|SRR35987646.160722379/1	34	151
CHI-A_20250810__SRR35987646	CHI-A_20250810__SRR35987646|SRR35987646.160722379/2	CHI-A_20250810__SRR35987646|SRR35987646.160722379/2	68	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.148750245/1	CHI-A_20250817__SRR35987642|SRR35987642.148750245/1	2	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.148750245/2	CHI-A_20250817__SRR35987642|SRR35987642.148750245/2	2	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.213949382/1	CHI-A_20250817__SRR35987642|SRR35987642.213949382/1	2	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.241965944/2	CHI-A_20250817__SRR35987642|SRR35987642.241965944/2	1	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.276051132/1	CHI-A_20250817__SRR35987642|SRR35987642.276051132/1	3	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.315181995/1	CHI-A_20250817__SRR35987642|SRR35987642.315181995/1	3	151
CHI-A_20250817__SRR35987642	CHI-A_20250817__SRR35987642|SRR35987642.393702883/1	CHI-A_20250817__SRR35987642|SRR35987642.393702883/1	2	151
CHI-A_20250831__SRR35987640	CHI-A_20250831__SRR35987640|SRR35987640.180568477/1	CHI-A_20250831__SRR35987640|SRR35987640.180568477/1	2	151
CHI-A_20250831__SRR35987640	CHI-A_20250831__SRR35987640|SRR35987640.180568477/2	CHI-A_20250831__SRR35987640|SRR35987640.180568477/2	2	151
CHI-B_20250601__SRR35987657	CHI-B_20250601__SRR35987657|SRR35987657.146202015/2	CHI-B_20250601__SRR35987657|SRR35987657.146202015/2	1	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1232079439/1	CHI-B_20250608__SRR35987656|SRR35987656.1232079439/1	2	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1232079439/2	CHI-B_20250608__SRR35987656|SRR35987656.1232079439/2	2	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1249992340/1	CHI-B_20250608__SRR35987656|SRR35987656.1249992340/1	2	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1253338393/1	CHI-B_20250608__SRR35987656|SRR35987656.1253338393/1	2	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1253338504/1	CHI-B_20250608__SRR35987656|SRR35987656.1253338393/1	2	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1304929325/1	CHI-B_20250608__SRR35987656|SRR35987656.1304929325/1	2	151
CHI-B_20250608__SRR35987656	CHI-B_20250608__SRR35987656|SRR35987656.1304929429/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1120071561/1	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1000346274/1	CHI-B_20250615__SRR35987655|SRR35987655.1000346274/1	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1000346274/2	CHI-B_20250615__SRR35987655|SRR35987655.1000346274/2	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1010933293/2	CHI-B_20250615__SRR35987655|SRR35987655.1010933293/2	1	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1143119882/1	CHI-B_20250615__SRR35987655|SRR35987655.1000346274/1	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1143119882/2	CHI-B_20250615__SRR35987655|SRR35987655.1143119882/2	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1300671905/1	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/1	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.1391523293/1	CHI-B_20250615__SRR35987655|SRR35987655.1391523293/1	3	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.283562016/1	CHI-B_20250615__SRR35987655|SRR35987655.283562016/1	1	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.477189654/2	CHI-B_20250615__SRR35987655|SRR35987655.477189654/2	3	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.611481334/1	CHI-B_20250615__SRR35987655|SRR35987655.611481334/1	2	151
CHI-B_20250615__SRR35987655	CHI-B_20250615__SRR35987655|SRR35987655.611481334/2	CHI-B_20250615__SRR35987655|SRR35987655.1143119882/2	2	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/1	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/1	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/2	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/2	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1216936894/2	CHI-B_20250622__SRR35987549|SRR35987549.1216936894/2	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1391832038/1	CHI-B_20250622__SRR35987549|SRR35987549.1391832038/1	2	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1533269901/1	CHI-B_20250622__SRR35987549|SRR35987549.1533269901/1	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1533269901/2	CHI-B_20250622__SRR35987549|SRR35987549.1533269901/2	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1606170012/1	CHI-B_20250622__SRR35987549|SRR35987549.1606170012/1	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.1606170012/2	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/2	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.279971499/1	CHI-B_20250622__SRR35987549|SRR35987549.279971499/1	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.279971499/2	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/2	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.405117886/2	CHI-B_20250622__SRR35987549|SRR35987549.405117886/2	2	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.596204561/1	CHI-B_20250622__SRR35987549|SRR35987549.596204561/1	2	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.994665579/1	CHI-B_20250622__SRR35987549|SRR35987549.1074502721/1	1	151
CHI-B_20250622__SRR35987549	CHI-B_20250622__SRR35987549|SRR35987549.994665579/2	CHI-B_20250622__SRR35987549|SRR35987549.994665579/2	1	151
CHI-B_20250629__SRR35987548	CHI-B_20250629__SRR35987548|SRR35987548.106773027/1	CA_Riverside_20250619__SRR35931376|SRR35931376.1214412848/1	2	151
CHI-B_20250629__SRR35987548	CHI-B_20250629__SRR35987548|SRR35987548.803891196/1	CHI-B_20250629__SRR35987548|SRR35987548.803891196/1	3	151
CHI-B_20250629__SRR35987548	CHI-B_20250629__SRR35987548|SRR35987548.893708703/1	CHI-B_20250629__SRR35987548|SRR35987548.893708703/1	2	151
CHI-B_20250706__SRR35987547	CHI-B_20250706__SRR35987547|SRR35987547.171741715/2	CHI-B_20250706__SRR35987547|SRR35987547.171741715/2	3	151
CHI-B_20250706__SRR35987547	CHI-B_20250706__SRR35987547|SRR35987547.481555009/1	CHI-B_20250706__SRR35987547|SRR35987547.481555009/1	2	151
CHI-B_20250720__SRR35987545	CHI-B_20250720__SRR35987545|SRR35987545.134315217/1	CHI-B_20250720__SRR35987545|SRR35987545.134315217/1	1	151
CHI-B_20250720__SRR35987545	CHI-B_20250720__SRR35987545|SRR35987545.221671032/1	CA_Riverside_20250602__SRR35931371|SRR35931371.123483871/1	2	151
CHI-B_20250720__SRR35987545	CHI-B_20250720__SRR35987545|SRR35987545.221671032/2	CHI-B_20250720__SRR35987545|SRR35987545.221671032/2	2	151
CHI-B_20250720__SRR35987545	CHI-B_20250720__SRR35987545|SRR35987545.331234178/2	CHI-B_20250720__SRR35987545|SRR35987545.331234178/2	2	151
